_channels,timestamp
"[1500 1500 1427 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622007624030224
"[1500 1500 1427 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622007674025285
"[1500 1500 1426 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622007724050046
"[1500 1500 1426 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622007773845738
"[1500 1500 1426 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622007823914196
"[1500 1500 1425 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622007873967108
"[1500 1500 1425 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622007923961548
"[1500 1500 1425 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622007973913210
"[1500 1500 1425 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008023847384
"[1500 1500 1423 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008073902925
"[1500 1500 1423 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008124502132
"[1500 1500 1422 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008174457697
"[1500 1500 1421 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008224638177
"[1500 1500 1420 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008274801621
"[1500 1500 1420 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008324069968
"[1500 1500 1419 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008373938599
"[1500 1500 1418 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008423950678
"[1500 1500 1418 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008473945065
"[1500 1500 1418 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008523952449
"[1500 1500 1415 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008573779568
"[1500 1500 1415 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008624601638
"[1500 1500 1415 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008674744898
"[1500 1500 1414 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008724783090
"[1500 1500 1416 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008775209290
"[1500 1500 1416 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008824076037
"[1500 1500 1415 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008874057420
"[1500 1500 1414 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008924110298
"[1500 1500 1415 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622008974082374
"[1500 1500 1415 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009024262384
"[1500 1500 1416 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009074009397
"[1500 1500 1415 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009123912110
"[1500 1500 1413 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009174369971
"[1500 1500 1413 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009224066628
"[1500 1500 1413 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009274011430
"[1500 1500 1412 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009323999572
"[1500 1500 1412 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009373847006
"[1500 1500 1412 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009424043099
"[1500 1500 1411 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009474068192
"[1500 1500 1411 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009524108907
"[1500 1500 1409 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009573959681
"[1500 1500 1409 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009624031960
"[1500 1500 1408 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009674034503
"[1500 1500 1408 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009724073261
"[1500 1500 1407 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009774157777
"[1500 1500 1406 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009824202308
"[1500 1500 1406 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009874332489
"[1500 1500 1405 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009924069630
"[1500 1500 1403 1500 1500 1500 1500 1500    0    0    0    0    0    0
    0    0    0    0]",1741622009973802819
